                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.242,                  4.495,                 2.1325,                0.00011,                0.03333,                0.00012,                  1e-05,                 1.7962,                 4.4317,                  1.858,                  7e-05,                  7e-05,                  7e-05
                      2,                 1.5956,                  4.104,                 1.6465,                0.00083,                0.23333,                 0.0742,                0.05172,                 1.1206,                 4.1305,                 1.3156,             0.00014505,             0.00014505,             0.00014505
                      3,                  1.381,                  3.417,                 1.3707,                0.00241,                0.63333,                0.25512,                0.17505,                 1.0597,                 3.8765,                 1.1486,             0.00021482,             0.00021482,             0.00021482
                      4,                 1.2254,                 2.7753,                 1.2665,                0.00387,                0.93333,                0.42896,                0.29769,                 1.0651,                 3.5361,                 1.0769,             0.00027931,             0.00027931,             0.00027931
                      5,                 1.1958,                 2.1865,                 1.2561,                 0.9125,                0.33333,                0.52739,                0.39257,                0.95194,                 3.3445,                  1.017,             0.00033852,             0.00033852,             0.00033852
                      6,                 1.2173,                 2.0731,                 1.2447,                0.00434,                      1,                  0.582,                0.46646,                 0.9418,                 3.2553,                   1.01,             0.00039245,             0.00039245,             0.00039245
                      7,                   1.04,                 1.7207,                 1.1153,                 0.6578,                0.46667,                0.55578,                0.41571,                 1.0292,                 3.1662,                 1.0342,              0.0004411,              0.0004411,              0.0004411
                      8,                 1.0218,                 1.5073,                 1.1024,                0.87228,                0.41466,                0.71985,                0.52193,                 1.0048,                 2.8496,                 1.0393,             0.00048447,             0.00048447,             0.00048447
                      9,                 1.0642,                 1.4961,                  1.147,                0.99999,                0.21071,                  0.995,                0.71737,                0.96314,                 2.8836,                  1.069,             0.00052256,             0.00052256,             0.00052256
                     10,                 1.0678,                 1.3858,                 1.1429,                0.99552,                0.24833,                  0.995,                0.78102,                 0.8641,                 2.5948,                 1.0419,             0.00055537,             0.00055537,             0.00055537
                     11,                0.96377,                  1.263,                 1.0966,                0.95269,                0.77343,                  0.995,                0.80302,                0.84586,                 2.0962,                 1.0371,              0.0005829,              0.0005829,              0.0005829
                     12,                0.97128,                 1.2116,                 1.1011,                0.94236,                0.83651,                0.98944,                0.75725,                 0.9655,                 2.0425,                 1.1008,             0.00060515,             0.00060515,             0.00060515
                     13,                0.90588,                 1.1664,                 1.0798,                0.92343,                0.89115,                0.98548,                0.76707,                0.92064,                 2.0488,                 1.1003,               0.000604,               0.000604,               0.000604
                     14,                 0.9517,                 1.1088,                 1.1113,                0.90289,                0.91554,                  0.995,                0.80405,                0.85051,                 1.6634,                 1.0881,               0.000571,               0.000571,               0.000571
                     15,                0.90545,                 1.1561,                 1.0807,                0.83971,                0.91141,                  0.995,                0.80726,                0.80719,                 1.4126,                 1.0446,               0.000538,               0.000538,               0.000538
                     16,                0.98095,                 1.1404,                 1.1159,                0.93161,                0.98492,                  0.995,                0.81319,                0.78988,                 1.4431,                 1.0373,               0.000505,               0.000505,               0.000505
                     17,                0.86563,                 1.0255,                 1.0516,                0.90534,                0.98466,                  0.995,                0.80689,                0.84553,                 1.3317,                 1.0635,               0.000472,               0.000472,               0.000472
                     18,                 0.9197,                 1.0716,                 1.0809,                0.95641,                0.98809,                  0.995,                0.80899,                0.88512,                 1.1534,                  1.082,               0.000439,               0.000439,               0.000439
                     19,                0.93612,                0.96241,                 1.0876,                 0.9655,                0.98631,                  0.995,                0.77965,                0.93613,                 1.0391,                 1.1174,               0.000406,               0.000406,               0.000406
                     20,                0.84899,                0.91619,                 1.0496,                0.97853,                0.99089,                  0.995,                0.81364,                0.85352,                0.95379,                 1.0701,               0.000373,               0.000373,               0.000373
                     21,                0.75039,                 1.0389,                 1.0154,                0.95591,                0.99446,                  0.995,                0.78026,                0.92791,                 1.1786,                 1.1108,                0.00034,                0.00034,                0.00034
                     22,                0.76003,                 1.0345,                 1.0513,                0.97603,                0.98366,                  0.995,                0.76361,                 1.0009,                 1.0838,                 1.1728,               0.000307,               0.000307,               0.000307
                     23,                0.78849,                0.98252,                 1.0447,                0.97061,                0.99352,                  0.995,                0.82891,                0.75759,                0.94132,                 1.0531,               0.000274,               0.000274,               0.000274
                     24,                0.75058,                0.95049,                 1.0009,                0.96538,                 0.9952,                  0.995,                0.82834,                0.76097,                0.96866,                 1.0239,               0.000241,               0.000241,               0.000241
                     25,                0.74191,                0.94415,                 1.0279,                0.95273,                 0.9934,                  0.995,                0.80399,                0.80971,                0.95462,                 1.0294,               0.000208,               0.000208,               0.000208
                     26,                0.76892,                0.93908,                 0.9882,                0.95777,                      1,                  0.995,                0.84433,                0.69201,                 0.8433,                 0.9772,               0.000175,               0.000175,               0.000175
                     27,                0.72021,                0.89604,                0.98237,                0.96694,                      1,                  0.995,                0.84706,                0.67052,                0.79164,                0.97074,               0.000142,               0.000142,               0.000142
                     28,                0.70202,                0.89001,                0.99224,                0.97436,                      1,                  0.995,                0.84641,                0.68274,                0.77835,                0.97454,               0.000109,               0.000109,               0.000109
                     29,                0.70457,                0.87097,                 0.9891,                0.98169,                      1,                  0.995,                0.84279,                0.68546,                0.77865,                0.96965,                7.6e-05,                7.6e-05,                7.6e-05
                     30,                0.66523,                 0.8856,                0.99318,                0.98517,                      1,                  0.995,                0.83193,                0.69073,                 0.7803,                0.96896,                4.3e-05,                4.3e-05,                4.3e-05
