                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2659,                 4.4557,                 1.5592,                  0.316,                0.16845,                0.11196,                0.04357,                 1.8538,                 3.9726,                 1.4776,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 2.0436,                 2.7241,                 1.3921,                 0.4248,                0.48987,                0.43819,                0.22824,                 1.6112,                 2.7418,                 1.3123,             0.00016005,             0.00016005,             0.00016005
                      3,                 1.7942,                 1.8201,                 1.2578,                0.54439,                0.61569,                0.56277,                0.29069,                  1.587,                 4.2414,                 1.2967,             0.00023529,             0.00023529,             0.00023529
                      4,                 1.7032,                 1.4775,                  1.207,                0.53614,                0.58727,                0.57737,                0.31892,                 1.5333,                 3.1365,                  1.282,             0.00030349,             0.00030349,             0.00030349
                      5,                 1.6328,                 1.3161,                 1.1783,                0.69171,                 0.6609,                0.69926,                0.39875,                 1.3994,                 2.8136,                 1.1904,             0.00036466,             0.00036466,             0.00036466
                      6,                 1.6061,                 1.2132,                 1.1582,                0.83071,                0.72513,                0.79506,                0.42892,                  1.415,                 1.7888,                 1.2146,             0.00041878,             0.00041878,             0.00041878
                      7,                 1.5666,                 1.1473,                 1.1306,                0.75986,                0.71359,                0.74079,                0.41765,                 1.4353,                 2.0418,                 1.2506,             0.00046586,             0.00046586,             0.00046586
                      8,                 1.5633,                  1.131,                 1.1292,                0.70144,                0.69526,                0.75175,                0.42219,                 1.4957,                 2.2445,                 1.3144,             0.00050591,             0.00050591,             0.00050591
                      9,                 1.5266,                 1.1001,                 1.1439,                0.71692,                0.68702,                0.69654,                0.39815,                 1.5297,                 2.5939,                 1.2988,             0.00053891,             0.00053891,             0.00053891
                     10,                 1.4834,                 1.0321,                 1.0904,                0.69327,                   0.62,                0.70963,                0.39094,                 1.5404,                 1.7509,                 1.3112,             0.00056488,             0.00056488,             0.00056488
                     11,                  1.494,                0.99771,                 1.0904,                0.87013,                0.67783,                0.77216,                0.43445,                 1.6029,                 1.3875,                 1.3538,             0.00058381,             0.00058381,             0.00058381
                     12,                 1.4165,                0.95255,                  1.088,                0.71369,                0.78534,                0.79238,                0.44745,                 1.5489,                 1.3989,                 1.2833,              0.0005957,              0.0005957,              0.0005957
                     13,                 1.4998,                 0.9777,                 1.1006,                0.81472,                0.72378,                0.79239,                0.43036,                 1.5419,                 1.3276,                 1.2712,             0.00058305,             0.00058305,             0.00058305
                     14,                 1.3671,                0.94957,                 1.0581,                0.84198,                0.75861,                0.82275,                0.47198,                 1.5095,                  1.312,                 1.2363,             0.00053906,             0.00053906,             0.00053906
                     15,                 1.4095,                0.89878,                 1.0669,                0.82318,                0.72328,                0.82454,                 0.4937,                 1.4451,                 1.3565,                 1.2074,             0.00049506,             0.00049506,             0.00049506
                     16,                 1.3659,                 0.9604,                 1.0658,                0.73922,                0.77246,                0.79848,                0.47707,                   1.46,                 1.3028,                 1.2334,             0.00045107,             0.00045107,             0.00045107
                     17,                 1.3602,                0.90759,                 1.0343,                0.75454,                0.77595,                0.79019,                 0.4594,                 1.4844,                 1.2032,                 1.2427,             0.00040707,             0.00040707,             0.00040707
                     18,                 1.3406,                0.85972,                 1.0424,                0.76454,                0.80204,                 0.8168,                0.47023,                 1.4458,                 1.1619,                 1.2258,             0.00036307,             0.00036307,             0.00036307
                     19,                 1.3306,                0.83433,                  1.042,                0.75112,                0.86553,                0.82754,                0.48967,                  1.427,                 1.1036,                 1.2034,             0.00031908,             0.00031908,             0.00031908
                     20,                 1.2888,                0.81006,                 1.0057,                0.71622,                0.81516,                0.82381,                0.46837,                  1.463,                 1.1347,                 1.2118,             0.00027508,             0.00027508,             0.00027508
                     21,                 1.2616,                0.78209,                 1.0069,                0.79732,                0.75868,                 0.8294,                0.47076,                 1.4855,                 1.1244,                 1.2213,             0.00023109,             0.00023109,             0.00023109
                     22,                 1.2792,                 0.7634,                0.99477,                0.79886,                0.78238,                0.82381,                 0.4875,                 1.4693,                 1.0875,                 1.2139,             0.00018709,             0.00018709,             0.00018709
                     23,                 1.2317,                0.75046,                 1.0074,                0.89079,                0.79789,                0.85441,                0.50798,                 1.4243,                 1.0489,                 1.1995,              0.0001431,              0.0001431,              0.0001431
                     24,                 1.2306,                 0.7393,                0.97997,                0.88906,                0.79434,                0.85883,                0.51171,                  1.409,                 1.0142,                 1.1956,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     25,                 1.2348,                0.72807,                 1.0138,                0.89456,                0.78832,                0.86025,                 0.5218,                 1.4092,                 1.0039,                 1.1975,             5.5106e-05,             5.5106e-05,             5.5106e-05
